Date,Region,Place,Trigger,Depth,Width,Vertical,Aspect,Elevation,Buried - Fully,Buried - Partly,Weak Layer,Carried,Caught,Injured,Killed,Latitude,longitude
4/3/13,Uintas,Whitney Basin,Natural,4',1/2 mile,400,Northeast,10600,,,Depth Hoar,,,,,"40¡ 50' 36.0924"" N","Ê111¡ 1' 12.8496"" W"
4/2/13,Salt Lake,Cardiff Bowl,Skier,"16""",60,300,South,9700,,,Density Change,,,,,none,
4/2/13,Uintas,Weber Canyon,Natural,"10""",50,150,Northeast,10200,,,New Snow/Old Snow Interface,,,,,"40¡ 50' 22.1856"" N","Ê111¡ 4' 9.282"" W"
4/2/13,Salt Lake,Patsy Marly,Skier,"12""",50,400,West,9400,,,New Snow,,,,,none,
4/2/13,Salt Lake,Grizzly Gulch,Skier,"12""",,,South,10100,,,New Snow,,,,,"40¡ 36' 0"" N","Ê111¡ 37' 4.8"" W"
3/26/13,Salt Lake,White Pine,Skier,"8""",200,800,Northwest,10900,,,New Snow/Old Snow Interface,1,1,1,,"40¡ 33' 7.9992"" N","Ê111¡ 39' 53.2152"" W"
3/25/13,Salt Lake,Superior,Skier,"18""",60,1750,Southeast,10800,,1,New Snow/Old Snow Interface,1,1,1,,"40¡ 35' 28.4712"" N","Ê111¡ 39' 57.6936"" W"
3/25/13,Uintas,Gold Hill,Snowmobiler,4',175,200,North,9800,,,Facets,1,1,,,"40¡ 48' 45.738"" N","Ê110¡ 54' 19.8828"" W"
3/24/13,Salt Lake,Mineral Fork,Skier,"15""",100,700,Northeast,9600,,,New Snow,,,,,"40¡ 36' 29.3184"" N","Ê111¡ 41' 1.0356"" W"
3/24/13,Salt Lake,Snake Creek,Skier,"15""",70,150,Southeast,9100,,,New Snow/Old Snow Interface,,,,,"40¡ 34' 37.668"" N","Ê111¡ 34' 38.9712"" W"
3/24/13,Salt Lake,Mill B South,Skier,"21""",100,400,North,9500,,,New Snow/Old Snow Interface,1,1,,,"40¡ 35' 55.6872"" N","Ê111¡ 42' 8.244"" W"
3/23/13,Salt Lake,Snake Creek,Snow Bike,"4""",50,300,Southeast,9500,,,New Snow/Old Snow Interface,,,,,"40¡ 33' 7.4124"" N","Ê111¡ 34' 5.3292"" W"
3/23/13,Salt Lake,Banana Days,Skier,"12""",25,800,Northeast,10100,,,New Snow,,,,,"40¡ 36' 27.8028"" N","Ê111¡ 38' 36.7692"" W"
3/23/13,Salt Lake,Cardiff Fork,Skier,"9""",60,400,Northeast,10100,,,New Snow,,,,,"40¡ 35' 41.928"" N","Ê111¡ 39' 39.1536"" W"
3/23/13,Salt Lake,Two Dogs,Skier,"6""",80,300,Northeast,10100,,,New Snow/Old Snow Interface,,,,,none,
3/23/13,Logan,Tony Grove,Snowboarder,"16""",50,100,Northeast,9100,,,New Snow/Old Snow Interface,,,,,"41¡ 53' 47.6124"" N","Ê111¡ 39' 32.6664"" W"
3/23/13,Salt Lake,Days Headwall,Skier,"6""",50,600,Northeast,10200,,,New Snow,,,,,"40¡ 36' 2.3976"" N","Ê111¡ 38' 3.5988"" W"
3/23/13,Salt Lake,Catchers Mit,Skier,"20""",60,200,Northeast,10200,,,Facets,,,,,"40¡ 37' 22.9476"" N","Ê111¡ 40' 5.574"" W"
3/23/13,Salt Lake,Meadows,Skier,"10""",80,200,East,8800,,,New Snow/Old Snow Interface,,,,,"40¡ 36' 45.3024"" N","Ê111¡ 37' 23.8152"" W"
3/23/13,Salt Lake,Flanigans,Snowboarder,"12""",30,250,North,9800,,,New Snow/Old Snow Interface,1,1,,,"40¡ 36' 19.5804"" N","Ê111¡ 37' 8.2416"" W"
3/23/13,Salt Lake,West Monitor,Skier,"22""",40,500,East,9500,,,New Snow/Old Snow Interface,,,,,none,
3/22/13,Salt Lake,Banana Days,Skier,10',100,250,Northeast,10000,,,Graupel,,,,,none,
3/21/13,Salt Lake,Mill B South,Natural,"10""",25,100,Northwest,10500,,,Graupel,,,,,"40¡ 35' 30.4656"" N","Ê111¡ 40' 28.4376"" W"
3/21/13,Salt Lake,Hypodermic Needle,Natural,"20""",60,1500,Northeast,10600,,,New Snow/Old Snow Interface,,,,,"40¡ 32' 43.1124"" N","Ê111¡ 43' 48.3564"" W"
3/21/13,Salt Lake,Key hole,Skier,"11""",35,350,,10400,,,New Snow/Old Snow Interface,,,,,none,
3/21/13,Salt Lake,Pioneer Ridge,Skier,"10""",50,350,Northeast,10200,,,Density Change,,,,,"40¡ 34' 54.7968"" N","Ê111¡ 35' 15.8964"" W"
3/21/13,Logan,White Rock Hollow,Skier,"12""",70,200,East,9000,,,New Snow/Old Snow Interface,,,,,"41¡ 41' 0.2544"" N","Ê111¡ 41' 47.7132"" W"
3/20/13,Salt Lake,Days Fork,Skier,"8""",150,400,North,10100,,,New Snow,,1,,,"40¡ 36' 15.2784"" N","Ê111¡ 38' 31.1784"" W"
3/18/13,Salt Lake,Reynolds Pk,Skier,,,,East,9200,,,,,,,,none,
3/18/13,Uintas,Moffit Basin,Skier,2.5',50,1000,Northeast,10800,,,Facets,1,1,,,"40¡ 48' 35.2548"" N","Ê110¡ 57' 13.6908"" W"
3/16/13,Salt Lake,Big Cottonwood Canyon,Natural,3',Unknown,Unknown,North,9000,,,Wet grains,,,,,none,
3/15/13,Provo,Cascade Ridge,Skier,"12""",80,200,Southeast,8500,,,,,,,,none,
3/15/13,Salt Lake,Broads Fork,Natural,unknown,Unknown,1500,East,10500,,,Ground Interface,,,,,"40¡ 35' 52.0512"" N","Ê111¡ 43' 11.8956"" W"
3/15/13,Logan,West Side of Wellsville Range,Natural,unknown,Unknown,2000,West,8200,,,Ground Interface,,,,,"41¡ 40' 51.9096"" N","Ê112¡ 2' 3.264"" W"
3/15/13,Logan,Beaver Mountain Backside,Unknown,2',40,200,East,8200,,,Ground Interface,,,,,none,
3/15/13,Provo,Lama Peak area,Natural,unknown,40,500,Southeast,9200,,,Wet grains,,,,,"40¡ 14' 19.878"" N","Ê111¡ 32' 15.6696"" W"
3/15/13,Uintas,Upper Weber Canyon,Skier,2',600,,Southeast,9900,,,Depth Hoar,,,,,"40¡ 49' 38.352"" N","Ê110¡ 59' 45.87"" W"
3/15/13,Uintas,Duchesne Ridge,Natural,3',80,200,Northeast,9800,,,Depth Hoar,,,,,"40¡ 28' 3.468"" N","Ê111¡ 6' 28.7928"" W"
3/15/13,Provo,Dry Fork,Skier,,30,,Southeast,10500,,,,,,,,none,
3/15/13,Salt Lake,Superior,Natural,,,1000,South,10900,,,New Snow/Old Snow Interface,,,,,none,
3/15/13,Provo,Provo,Natural,,,,East,9500,,,Facets,,,,,"40¡ 22' 14.5812"" N","Ê111¡ 36' 52.4556"" W"
3/15/13,Salt Lake,West Monitor,Natural,3',175,700,East,9900,,,Wet grains,,,,,"40¡ 38' 25.908"" N","Ê111¡ 34' 36.8076"" W"
3/14/13,Logan,Green Canyon,Natural,,50,,North,5800,,,Wet grains,,,,,"41¡ 46' 12.4572"" N","Ê111¡ 44' 41.8956"" W"
3/14/13,Logan,Beaver Canyon,Natural,2',100,800,West,7600,,,,,,,,"41¡ 53' 49.7976"" N","Ê111¡ 33' 1.9476"" W"
3/13/13,Ogden,Spring Creek,Unknown,unknown,Unknown,1500,Southwest,8600,,,Wet grains,,,,,"41¡ 10' 4.296"" N","Ê111¡ 52' 32.6352"" W"
3/13/13,Provo,Slide Canyon,Skier,"6""",40,1750,Southeast,10500,,,Wet grains,,,,,"40¡ 22' 8.3208"" N","Ê111¡ 37' 6.0492"" W"
3/13/13,Logan,East Banks,Natural,"18""",200,700,West,7600,,,Ground Interface,,,,,"41¡ 53' 48.8796"" N","Ê111¡ 32' 59.1648"" W"
3/12/13,Logan,Lower Providence Canyon,Snowmobiler,"12""",20,125,West,6500,,,Facets,,,,,"41¡ 41' 19.482"" N","Ê111¡ 44' 32.388"" W"
3/11/13,Salt Lake,The Fang,Skier,"6""",20,250,North,10000,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 59.5572"" N","Ê111¡ 38' 5.3772"" W"
3/10/13,Salt Lake,West Willow,Unknown,"15""",100,150,East,9500,,,New Snow/Old Snow Interface,,,,,"40¡ 38' 44.196"" N","Ê111¡ 35' 52.6632"" W"
3/10/13,Salt Lake,Wolverine Peak,Skier,,,,Northeast,10500,,1,Density Change,1,1,,,none,
3/10/13,Moab,Mt. Tomasaki,Natural,3',100,800,Southwest,11800,,,New Snow,,,,,"38¡ 30' 5.8716"" N","Ê109¡ 12' 33.3036"" W"
3/10/13,Salt Lake,Dry Fork of AF,Unknown,"12""",50,50,South,10000,,,New Snow/Old Snow Interface,,,,,none,
3/10/13,Salt Lake,Superior,Skier,"4""",80,900,South,10700,,,Density Change,,,,,"40¡ 35' 25.188"" N","Ê111¡ 40' 12.8352"" W"
3/10/13,Salt Lake,Days Fork,Skier,"6""",10,350,East,10100,,,New Snow,,,,,"40¡ 35' 53.9268"" N","Ê111¡ 38' 0.4308"" W"
3/10/13,Salt Lake,Diving Board,,,,,,,,,,,,,,none,
3/9/13,Salt Lake,Python Chutes,Skier,,,,Northwest,9200,,,New Snow/Old Snow Interface,,,,,none,
3/9/13,Salt Lake,Shale Shot,Skier,"18""",30,150,North,8900,,,New Snow/Old Snow Interface,,,,,"40¡ 40' 53.5764"" N","Ê111¡ 35' 47.4108"" W"
3/9/13,Salt Lake,Alexander Basin,Snowboarder,2.5',35,,Northeast,10100,,,Facets,,,,,"40¡ 40' 15.0276"" N","Ê111¡ 40' 57.0216"" W"
3/9/13,Salt Lake,Little Pine,Skier,"5""",40,400,South,9800,,,Density Change,,,,,"40¡ 35' 7.0008"" N","Ê111¡ 41' 11.3892"" W"
3/8/13,Uintas,Boundry Creek,Skier,3',400,600,West,9500,,,Density Change,,,,,none,
3/8/13,Provo,Provo Canyon,Unknown,,,,North,5600,,,,,,,,"40¡ 21' 13.2264"" N","Ê111¡ 34' 42.3696"" W"
3/8/13,Uintas,Boundary Creek,,2',,,West,10000,,,Facets,,,,,"40¡ 50' 17.628"" N","Ê110¡ 46' 35.472"" W"
3/6/13,Ogden,Ogden Mountains,Skier,,,,North,8400,,,Facets,,,,,none,
3/5/13,Salt Lake,Little Superior,Skier,unknown,15,1000,Southeast,10800,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 31.1712"" N","Ê111¡ 40' 2.7912"" W"
3/5/13,Salt Lake,Superior,Skier,"10""",100,500,North,10800,,,New Snow/Old Snow Interface,,,,,"40¡ 35' 31.8732"" N","Ê111¡ 40' 15.7692"" W"
3/5/13,Salt Lake,Superior,Skier,"3""",20,900,South,11200,,,New Snow/Old Snow Interface,,,,,none,
3/4/13,Salt Lake,Cardiac Ridge,Skier,"10""",60,500,East,10800,,,New Snow/Old Snow Interface,,,,,none,
3/4/13,Provo,Roberts Horn,Natural,"12""",100,1500,Southeast,10100,,,Density Change,,,,,"40¡ 24' 28.116"" N","Ê111¡ 38' 2.5944"" W"
3/4/13,Salt Lake,Canyons side country,Unknown,"8""",40,250,East,10000,,,,,,,,"40¡ 39' 7.1712"" N","Ê111¡ 35' 34.5876"" W"
3/4/13,Salt Lake,Summit Park,Skier,2.5',175,350,Northwest,7300,,,Facets,,,,,"40¡ 44' 35.844"" N","Ê111¡ 37' 48.3816"" W"
3/4/13,Salt Lake,Days Fork,Skier,"8""",50,600,North,10200,,,New Snow/Old Snow Interface,,,,,"40¡ 36' 3.312"" N","Ê111¡ 38' 4.758"" W"
3/4/13,Salt Lake,Reynolds Pk,Snowboarder,"6""",50,70,East,9200,,,New Snow,,,,,none,
3/4/13,Salt Lake,Superior,Skier,"16""",150,500,Southeast,9700,,,New Snow,,,,,none,
3/3/13,Logan,Lower Providence Canyon,Natural,"16""",125,1000,North,7300,,,Ground Interface,,,,,"41¡ 41' 19.3668"" N","Ê111¡ 45' 12.2472"" W"
3/3/13,Salt Lake,Cardiff Fork,Skier,"8""",20,175,Northwest,9800,,,Density Change,,1,,,"40¡ 21' 51.5124"" N","Ê111¡ 37' 27.6024"" W"
3/3/13,Provo,Rock Canyon,Unknown,unknown,100,Unknown,North,6500,,,Facets,,,,,"40¡ 21' 55.278"" N","Ê111¡ 37' 35.328"" W"
3/3/13,Logan,Logan Canyon,Natural,unknown,Unknown,Unknown,,6500,,,Ground Interface,,,,,"40¡ 22' 10.344"" N","Ê111¡ 34' 6.294"" W"
3/3/13,Provo,Lost Creek,Natural,2',150,1500,Southeast,10000,,,New Snow/Old Snow Interface,,,,,"40¡ 39' 34.0128"" N","Ê111¡ 42' 38.988"" W"
3/3/13,Provo,Lost Creek,Natural,"10""",30,1500,Southeast,10400,,,,,,,,"40¡ 28' 39.972"" N","Ê111¡ 30' 33.0156"" W"
3/3/13,Provo,North Fork Provo R.,Natural,"10""",25,500,Northeast,6000,,,Facets,,,,,"40¡ 22' 45.3936"" N","Ê111¡ 37' 49.1556"" W"
3/2/13,Salt Lake,Main Porter,Snowboarder,2',30,300,Northeast,9400,,,Facets,,,,,"39¡ 2' 36.96"" N","Ê111¡ 31' 8.4"" W"
3/2/13,Provo,Snowslide Jr,Natural,"8""",30,800,Northwest,6000,,,Facets,,,,,"40¡ 35' 45.8052"" N","Ê111¡ 40' 0.012"" W"
3/2/13,Provo,North Fork Provo R.,Natural,"8""",50,1250,Southeast,10100,,,Wet grains,,,,,"40¡ 40' 50.9988"" N","Ê111¡ 35' 51.2736"" W"
3/1/13,Skyline,12 Mile Canyon,Snowmobiler,2',350,250,Northeast,10400,1,,Facets,1,1,,1,none,
2/28/13,Salt Lake,Wyatt Couloir,Natural,"16""",100,400,Northeast,10600,,,Facets,,,,,"40¡ 35' 45.8052"" N","Ê111¡ 40' 0.012"" W"
2/26/13,Salt Lake,Canyons side country,Skier,"12""",40,100,North,8900,,,Facets,,1,,,"40¡ 40' 50.9988"" N","Ê111¡ 35' 51.2736"" W"
2/25/13,Provo,Silver Creek,Skier,"8""",50,200,Southwest,11000,,,,,,,,none,
2/25/13,Salt Lake,Hellgate,Skier,"12""",50,150,Southeast,10000,,,New Snow/Old Snow Interface,1,1,,,"40¡ 35' 36.7404"" N","Ê111¡ 39' 6.5556"" W"
2/25/13,Salt Lake,Toledo Chutes,Skier,,,,Southeast,10100,,,,,,,,none,
2/25/13,Skyline,Ephraim Canyon,Snowmobiler,3.5',150,400,Northwest,10300,,1,Depth Hoar,1,1,,,none,
2/24/13,Salt Lake,Two Trees,Skier,,,,South,9500,,,New Snow,,,,,"40¡ 35' 30.138"" N","Ê111¡ 39' 26.0208"" W"
2/24/13,Salt Lake,Dutch Draw,Skier,"8""",200,200,North,8600,,,New Snow/Old Snow Interface,1,1,,,"40¡ 39' 14.0184"" N","Ê111¡ 35' 5.5428"" W"
2/24/13,Salt Lake,Tuscarora,Skier,"18""",100,600,Southeast,10600,,,New Snow/Old Snow Interface,,,,,none,
2/24/13,Salt Lake,Big Cottonwood Canyon,Skier,"14""",70,70,Northwest,9800,,,Facets,,,,,"40¡ 35' 41.064"" N","Ê111¡ 35' 50.5032"" W"
2/24/13,Salt Lake,Toledo Bowl,Snowboarder,"10""",150,300,South,10200,,,New Snow/Old Snow Interface,1,1,,,"40¡ 35' 59.0892"" N","Ê111¡ 38' 44.772"" W"
2/24/13,Salt Lake,Back Bowls,Skier,"14""",125,150,Northwest,9800,,,Facets,,,,,"40¡ 35' 30.9336"" N","Ê111¡ 35' 52.818"" W"
2/23/13,Uintas,Upper Weber Canyon,Natural,2.5',1000,1000,Southeast,10400,,,Facets,,,,,"40¡ 49' 59.2752"" N","Ê111¡ 4' 43.428"" W"
2/23/13,Provo,Dry Fork,Natural,"16""",40,200,Southeast,10400,,,New Snow,,,,,"40¡ 34' 38.604"" N","Ê111¡ 35' 54.8268"" W"
2/21/13,Uintas,Duke Bowl,Skier,"16""",150,300,Northwest,10200,,,Facets,,,,,"40¡ 40' 29.3232"" N","Ê111¡ 9' 7.3044"" W"
2/19/13,Salt Lake,Red Pine Gulch,Skier,"18""",70,150,Northwest,10000,,,,,,,,"40¡ 32' 25.0332"" N","Ê111¡ 41' 24.828"" W"
2/19/13,Salt Lake,Hogum,Skier,"5""",100,200,West,9500,,,,1,1,,,none,
2/19/13,Salt Lake,Hogum,Skier,"20""",100,30,East,9500,,,Graupel,1,1,,,none,
2/17/13,Salt Lake,Session Mountains,Snowmobiler,"12""",40,,East,9000,,,,,,,,none,
2/17/13,Salt Lake,Little Water,,"5""",200,700,Northeast,9600,,,Facets,,,,,"40¡ 40' 19.3656"" N","Ê111¡ 37' 37.1028"" W"
2/17/13,Skyline,Seeley Creek,Natural,2',150,300,East,10000,,,Facets,,,,,"39¡ 30' 39.3408"" N","Ê111¡ 17' 55.3704"" W"
2/16/13,Ogden,Ogden,Skier,"8""",70,150,East,9200,,,Density Change,,,,,none,
2/16/13,Skyline,Ephraim Canyon,Snowmobiler,2',70,40,Northeast,10100,,,Facets,,,,,"39¡ 17' 49.5384"" N","Ê111¡ 27' 38.0484"" W"
2/16/13,Salt Lake,Reed and Benson Ridge,Natural,"16""",40,250,Northwest,8500,,,Graupel,,,,,"40¡ 37' 30.8964"" N","Ê111¡ 39' 6.3252"" W"
2/15/13,Salt Lake,Emma Ridges,Skier,"5""",20,300,Southwest,9700,,,Wet grains,,,,,none,
2/15/13,Uintas,Currant Creek Peak,Snowmobiler,"18""",150,300,Southeast,10500,,,New Snow/Old Snow Interface,,,,,"40¡ 22' 39.0396"" N","Ê111¡ 10' 27.9516"" W"
2/14/13,Salt Lake,Maybird Gulch,Skier,"16""",60,,East,10800,,,New Snow/Old Snow Interface,,,,,"40¡ 32' 48.534"" N","Ê111¡ 42' 36.1296"" W"
2/14/13,Skyline,Wedding Ring Ridge,Natural,"10""",200,150,Northeast,9700,,,New Snow,,,,,"39¡ 36' 24.7608"" N","Ê111¡ 17' 28.1796"" W"
2/13/13,Uintas,Upper Weber Canyon,Natural,3',250,300,Southeast,10500,,,Facets,,,,,"40¡ 50' 46.1436"" N","Ê111¡ 3' 59.8608"" W"
2/12/13,Salt Lake,Little Superior,Skier,"12""",30,20,Southeast,10500,,,New Snow/Old Snow Interface,,3,,,"40¡ 35' 34.8072"" N","Ê111¡ 39' 40.392"" W"
2/11/13,Salt Lake,Broads Fork,Skier,,,,Northwest,,,,,,,,,none,
2/10/13,Salt Lake,Blue Ice,Natural,5',250,450,Northeast,9500,,1,Ground Interface,2,2,1,,"40¡ 35' 57.4476"" N","Ê111¡ 43' 8.8032"" W"
2/5/13,Provo,Lost Creek,Natural,"12""",40,2000,East,9700,,,Facets,,,,,"40¡ 21' 43.6248"" N","Ê111¡ 37' 32.5452"" W"
2/5/13,Logan,Bullen Basin,Unknown,3',200,450,Southeast,9500,,,Facets,,,,,"41¡ 55' 4.3968"" N","Ê111¡ 40' 28.128"" W"
2/3/13,Salt Lake,Silver Fork Headwall,Skier,2.5',200,350,North,9900,1,1,Facets,1,1,,,"40¡ 35' 57.6816"" N","Ê111¡ 37' 31.6956"" W"
2/3/13,Salt Lake,No Name Bowl,Skier,"18""",80,300,Northwest,8900,,1,Facets,1,1,,,"40¡ 38' 15.1224"" N","Ê111¡ 33' 48.9132"" W"
2/3/13,Logan,South Tony Grove,Snowmobiler,2',250,300,Northeast,8400,,,Facets,,,,,"41¡ 53' 17.4804"" N","Ê111¡ 38' 27.9312"" W"
2/3/13,Logan,"Mt. Magog, South Ridge",Natural,2',100,450,East,9200,,,Facets,,,,,"41¡ 54' 47.0592"" N","Ê111¡ 39' 11.4984"" W"
2/3/13,Uintas,Millcreek,Snowmobiler,"16""",100,150,Northeast,11000,,,Facets,,,,,"40¡ 51' 18.0468"" N","Ê110¡ 42' 25.4988"" W"
2/3/13,Uintas,Whitney Basin,Snowmobiler,2',350,500,Northeast,10600,,,Facets,,,,,"40¡ 48' 17.7912"" N","Ê110¡ 57' 11.0664"" W"
2/3/13,Uintas,Whitney Basin,Snowmobiler,3',100,250,Northeast,10000,,,Facets,,,,,"40¡ 52' 14.484"" N","Ê110¡ 58' 12.2448"" W"
2/3/13,Provo,Y-Not,Snowboarder,3',300,,East,10200,,,Facets,1,1,,,"40¡ 32' 12.5844"" N"," 111¡ 38' 21.5988"" W"
2/2/13,Skyline,Seeley Creek,Snowmobiler,2',300,300,Northeast,10300,,,Facets,,,,,"39¡ 30' 47.3256"" N","Ê111¡ 18' 1.0872"" W"
2/2/13,Skyline,Seeley Creek,Snowmobiler,2',200,400,Northeast,10400,,,Facets,,,,,"39¡ 30' 52.452"" N","Ê111¡ 18' 9.1188"" W"
2/2/13,Provo,Box Elder,Skier,2',50,80,East,9400,,,Facets,,,,,"40¡ 30' 11.2644"" N","Ê111¡ 41' 39.5052"" W"
2/2/13,Provo,Timponooke Glades,Skier,2',150,500,North,9100,,,Facets,,,,,"40¡ 25' 48.8064"" N","Ê111¡ 39' 26.9496"" W"
2/2/13,Salt Lake,upper Days,Skier,2.5',50,200,Northwest,9900,,,Facets,,1,,,"40¡ 36' 4.2516"" N","Ê111¡ 38' 6.612"" W"
2/2/13,Skyline,Niotche Creek,Snowmobiler,2.5',125,400,Northeast,10400,,,Facets,,,,,"38¡ 44' 10.356"" N","Ê111¡ 39' 32.976"" W"
2/2/13,Skyline,Niotche Creek,Snowmobiler,3',200,500,Northeast,10400,,,Facets,,,,,"38¡ 44' 13.2468"" N","Ê111¡ 39' 36.0648"" W"
2/2/13,Provo,Ant Knolls,Snowmobiler,2',200,,East,,,,,,,,,none,
2/2/13,Uintas,Millcreek,Snowmobiler,"12""",125,200,Southeast,10600,,,Facets,,,,,"40¡ 51' 56.2572"" N","Ê110¡ 42' 26.5788"" W"
2/2/13,Salt Lake,Eeeny Meeny Miny Moe,Skier,3',200,2000,North,9900,,1,Facets,1,1,1,,"40¡ 36' 14.9256"" N","Ê111¡ 42' 27.5544"" W"
2/2/13,Skyline,Seeley Creek,Snowmobiler,2',100,300,East,10100,,,Facets,,,,,"39¡ 30' 35.6436"" N","Ê111¡ 17' 47.7996"" W"
2/1/13,Skyline,Skyline,Snowmobiler,,,,East,,,,,,,,,none,
2/1/13,Provo,Mill Canyon Peak,Unknown,2',250,,North,9000,,,Facets,,,,,"40¡ 29' 48.5916"" N","Ê111¡ 34' 7.4532"" W"
2/1/13,Ogden,Weber Canyon,Natural,"12""",40,1000,North,5800,,,Ground Interface,,,,,"41¡ 8' 0.6504"" N","Ê111¡ 53' 12.7248"" W"
2/1/13,Salt Lake,Mill B South,Unknown,2.5',300,600,Northeast,9800,,,,,,,,"40¡ 35' 52.7568"" N","Ê111¡ 41' 0.8808"" W"
2/1/13,Provo,Dry Fork,Snowmobiler,2.5',200,,East,10200,,,,,,,,none,
2/1/13,Skyline,Lake Canyon,Snowmobiler,2.5',300,100,East,9700,,,Density Change,,,,,"39¡ 35' 20.4792"" N","Ê111¡ 18' 8.8092"" W"
2/1/13,Ogden,Monte Cristo,Snowmobiler,4',400,250,Southeast,8700,1,,Facets,1,1,,,none,
2/1/13,Salt Lake,No Name Bowl,Unknown,"15""",175,,North,9600,,,Facets,,,,,"40¡ 38' 2.436"" N","Ê111¡ 33' 42.966"" W"
2/1/13,Salt Lake,No Name Bowl,Unknown,"15""",150,,North,9500,,,Facets,,,,,"40¡ 38' 2.436"" N","Ê111¡ 33' 41.5764"" W"
2/1/13,Logan,Box Elder Peak,Natural,unknown,Unknown,Unknown,East,9000,,,Facets,,,,,"41¡ 38' 4.1928"" N","Ê112¡ 0' 39.0636"" W"
2/1/13,Provo,Mary Ellen,Natural,"12""",300,500,,,,,,,,,,none,
2/1/13,Provo,Cascade Ridge line,Natural,,,,East,,,,,,,,,none,
1/31/13,Salt Lake,Bear Trap,Skier,"18""",60,80,Northwest,7800,,,Facets,,,,,"40¡ 38' 22.1316"" N","Ê111¡ 37' 0.102"" W"
1/31/13,Salt Lake,Park City Ridgeline,Natural,2',400,,East,9800,,,Facets,,,,,"40¡ 37' 50.268"" N","Ê111¡ 34' 12.396"" W"
